market,source_id,gate,horizon,dates,mean_excess,null_pctile,null_p05,null_p95,beats_null_95,loses_null_05,block_null_pctile,block_null_p05,block_null_p95,block_source_ci_lo,block_source_ci_hi,block_ci_crosses_zero,beats_null_95_block,loses_null_05_block
crypto,crypto.oi_surge,rsi45_only,5,71,0.008710442607986757,0.9905,-0.006043124892922208,0.006059927011477187,True,False,0.955,-0.009160266237816178,0.00836622438861895,-0.002545855574468501,0.020122681050398925,True,True,False
crypto,crypto.oi_surge,rsi45_only,20,56,-0.0003090750028679523,0.516,-0.011549810086736976,0.011137706915939656,False,False,0.496,-0.01490502696220731,0.01437060711818464,-0.015914435580415633,0.015472276073119315,True,False,False
crypto,crypto.oversold,none,5,71,0.004635987955328909,0.8965,-0.006043124892922208,0.006059927011477187,False,False,0.825,-0.008454448833341836,0.008395047139323273,-0.008903586056106323,0.018026256187679033,True,False,False
crypto,crypto.oversold,none,20,56,-0.019688301778908797,0.0025,-0.011549810086736976,0.011137706915939656,False,True,0.018,-0.015208646828109547,0.014751577310840026,-0.033091754593453405,-0.003681320514475261,False,False,True
crypto,crypto.oversold,rsi45_only,5,71,0.004635987955328909,0.8965,-0.006043124892922208,0.006059927011477187,False,False,0.813,-0.008384316174874914,0.008656976554948126,-0.00868681383162873,0.018430329493220033,True,False,False
crypto,crypto.oversold,rsi45_only,20,56,-0.019688301778908797,0.0025,-0.011549810086736976,0.011137706915939656,False,True,0.009,-0.014863550114669768,0.014616021212923965,-0.03328075160799884,-0.0037835356994169503,False,False,True
crypto,crypto.random,none,5,71,0.008004266872911288,0.982,-0.006043124892922208,0.006059927011477187,True,False,0.937,-0.00872448202878031,0.008834392725570427,-0.0005400552474344635,0.018304170414412468,True,False,False
crypto,crypto.random,none,20,56,0.0010924795312961754,0.598,-0.011549810086736976,0.011137706915939656,False,False,0.564,-0.014604781336783732,0.015403413003015787,-0.006908886041036937,0.010500236714294404,True,False,False
crypto,crypto.tv_rsi45,none,5,72,0.007825745803435572,0.98,-0.006199200943899818,0.006094146735074645,True,False,0.933,-0.008376670497118786,0.00885901224035462,-0.006293369459792425,0.02332442632144593,True,False,False
crypto,crypto.tv_rsi45,none,20,57,-0.01361162443522278,0.028,-0.011435786522242421,0.01116280112420183,False,True,0.074,-0.014777875228958952,0.014892035390731822,-0.02816091197611468,0.005845495774462179,True,False,False
