market,source_id,gate,horizon,window,dates,mean_ret,median_ret,mean_excess,median_excess,dates_beating_market,excess_t_descriptive
kr,kr.consecutive_gainers,none,5,recent,11,-0.007590780019971896,-0.01799408769047999,-0.050196036773305176,-0.03012453485356853,0.2727272727272727,-2.5048127478545394
kr,kr.consecutive_gainers,none,20,earlier,32,-0.09480022305454885,-0.04099546288696032,-0.008902794570750298,0.03437784526915438,0.625,-0.3550452290769848
kr,kr.double_buy,A_strong,5,earlier,7,0.024847380206656704,0.021015867015345167,-0.02284606348722371,-0.0089328307090284,0.42857142857142855,-1.0047606267630618
kr,kr.double_buy,A_strong,20,earlier,6,-0.11455159319688742,-0.1041569527322132,-0.029799395649241795,-0.054972439754124226,0.3333333333333333,-0.7088953189596615
kr,kr.double_buy,B_moderate2,5,earlier,27,0.011089184190581023,-0.0035401348289077136,0.01888285218041487,0.014167977137570186,0.6296296296296297,0.961547684785842
kr,kr.double_buy,B_moderate2,5,recent,3,0.10988610689905161,0.08677212214993922,0.026818708942453407,0.0215465961734,0.6666666666666666,0.4055852798189095
kr,kr.double_buy,B_moderate2,20,earlier,23,-0.02047592108092962,-0.03330554371362813,0.0549073711603259,0.005591330390861143,0.6086956521739131,1.7356115164913166
kr,kr.double_buy,none,5,earlier,35,-0.08518111586989273,-0.07912933822200718,-0.06311972392029051,-0.04281767863320296,0.2857142857142857,-3.4711876589761657
kr,kr.double_buy,none,5,recent,11,-0.0025229719250069514,0.009790933159040824,-0.04512822867834023,-0.039000421784802,0.36363636363636365,-1.2749075371072434
kr,kr.double_buy,none,20,earlier,31,-0.15092313585209877,-0.13318068506621508,-0.06642175530448394,-0.09130911094998476,0.3548387096774194,-2.610470784445201
kr,kr.future_dividend_king,A_strong,5,earlier,6,0.011821791155090348,-0.0031338622821272,0.03178774227220335,0.03306174129410606,0.6666666666666666,1.6272322846814362
kr,kr.future_dividend_king,A_strong,20,earlier,6,0.03713820799663655,0.018147272320850748,0.15213289922601983,0.1530575098938668,1.0,9.497844610731748
kr,kr.future_dividend_king,B_moderate2,5,earlier,35,0.0010378113851130237,-0.0025452741255272016,0.02175919555585974,0.024287686127406827,0.7714285714285715,2.5051509472710567
kr,kr.future_dividend_king,B_moderate2,5,recent,10,-0.009369034348776738,-0.007455542575285551,-0.058198473693717875,-0.060922644586149294,0.1,-3.603372501249982
kr,kr.future_dividend_king,B_moderate2,20,earlier,31,-0.015005570691878602,-0.006030464459028774,0.06766233174417281,0.0698069165884719,0.8064516129032258,5.199729024854303
kr,kr.future_dividend_king,none,5,earlier,36,-0.005853607250347044,-0.009001788531530755,0.017144417016158438,0.01837933904086692,0.6944444444444444,2.380922762470059
kr,kr.future_dividend_king,none,5,recent,11,0.007100535940122052,0.01771757597320005,-0.03550472081321124,-0.02621436349319255,0.18181818181818182,-2.6982561332182424
kr,kr.future_dividend_king,none,20,earlier,32,-0.028991883172899524,-0.026893356830555284,0.05690554531089904,0.06426940687249341,0.75,4.664987608324538
kr,kr.growth_expectation_toss,A_strong,5,earlier,6,0.04105282922897766,0.04429379920360098,0.03562643417371513,0.0415795057472456,0.8333333333333334,1.9388929791780718
kr,kr.growth_expectation_toss,A_strong,20,earlier,6,0.013586419566515427,-0.0019569026327166997,0.13480312810666534,0.16569172867340387,0.8333333333333334,3.1528672550488284
kr,kr.growth_expectation_toss,B_moderate2,5,earlier,36,0.007142596585849436,0.003783046295858655,0.03014062085235493,0.035779654284077624,0.8333333333333334,5.124617219574728
