market,source_id,gate,horizon,window,dates,picks,scored,missing,truncated,censored,delisted_or_gap,n_unc,mean_ret_unc,median_ret_unc,win_rate_unc,mean_excess_unc,excess_t_unc,excess_win_rate_unc,mean_ret,median_ret,win_rate,p10,p90,t_stat,mean_excess,median_excess,excess_win_rate,excess_t,mean_ret_strict,mean_mfe,mean_mae,mean_hl_mfe,mean_hl_mae,mean_pool,mean_gated
kr,kr.stable_growth,A_strong,5,all,20,30,30,0,0,0,0,30,0.019796831160874342,0.00401556073844015,0.5333333333333333,-0.011895805839771635,-0.8607822802856862,0.43333333333333335,0.019796831160874342,0.00401556073844015,0.5333333333333333,-0.05060120240480961,0.12391346347519039,1.7279444783172782,-0.011895805839771635,-0.01837788297396975,0.43333333333333335,-0.8607822802856862,0.019796831160874342,0.04780051429270262,-0.014727896013745518,0.07304870833588592,-0.034554081112586864,100.0,1.9333333333333333
kr,kr.stable_growth,A_strong,20,all,20,30,30,0,8,8,0,22,-0.05355982462896138,-0.06511627906976745,0.2727272727272727,0.06316055138813058,3.05768598440997,0.8181818181818182,-0.05116125130741152,-0.04592263610315185,0.2,-0.1263431167129577,0.013962496511726614,-3.3973658039331522,0.025416046573342194,0.030706750937511747,0.6,1.2572271753624034,-0.05355982462896138,0.06749204115822581,-0.07632150129553587,0.08907570540154759,-0.09125855738799961,100.0,1.9333333333333333
kr,kr.stable_growth,B_moderate2,5,all,50,356,356,0,8,8,0,348,0.06027731775936384,0.00642170329670325,0.5459770114942529,0.07110106365171921,3.0869758586948026,0.6580459770114943,0.05844314034650075,0.0041452221650368,0.5393258426966292,-0.0848440478253335,0.11753138287102655,2.5712100256072867,0.06979429798795014,0.022870051584619397,0.6629213483146067,3.099282418156767,0.06027731775936384,0.09465834873679904,-0.03766345600662125,0.12547124450257038,-0.06527410988295625,100.0,16.269662921348313
kr,kr.stable_growth,B_moderate2,20,all,50,356,356,0,66,66,0,290,0.06807051628051614,0.01047432727073255,0.5379310344827586,0.15259689125418116,5.361622116688785,0.7689655172413793,0.058213366271107805,0.0044696480482757,0.5168539325842697,-0.13755891581086124,0.16240796110975514,2.540141770443761,0.11610293074111815,0.0553851588137412,0.6769662921348315,4.9120166999459425,0.06807051628051614,0.1781564400733845,-0.09738121945470396,0.21221650555804306,-0.12703709518890188,100.0,16.269662921348313
kr,kr.stable_growth,none,5,all,51,510,357,153,28,40,0,329,0.006365168986091839,-0.0207939508506616,0.43465045592705165,0.014009233864975476,1.5592461838327962,0.48328267477203646,0.00505679807569306,-0.0196078431372549,0.42857142857142855,-0.1913925460649473,0.22976300419329082,0.5488901160086356,0.014876301585034609,-3.363497812889499e-05,0.49859943977591037,1.7763259245453442,0.006365168986091839,0.08034253924561915,-0.07296146979922105,0.1379768298481105,-0.11013442158055413,100.0,100.0
kr,kr.stable_growth,none,20,all,51,510,357,153,133,190,0,224,-0.07683652797980346,-0.0705374351925174,0.375,0.009060900503995087,0.6060453491531429,0.5178571428571429,-0.02870803773726374,-0.0303430079155673,0.4341736694677871,-0.3296999025464392,0.2508206389299982,-2.3039280889295366,0.018937047454805598,0.00996126000018091,0.5322128851540616,1.7269574497441642,-0.07683652797980346,0.16931365466067244,-0.16904066252983427,0.2413410676849305,-0.20086042062156076,100.0,100.0
kr,kr.steady_dividend,A_strong,5,all,7,8,8,0,0,0,0,8,0.023559495468512975,-0.0031338622821272,0.375,0.035861118167607064,1.7567959258820163,0.625,0.023559495468512975,-0.0031338622821272,0.375,-0.01873032546078217,0.0768767196607929,1.194766601594201,0.035861118167607064,0.043236946890627556,0.625,1.7567959258820163,0.023559495468512975,0.03389572248097779,-0.002631458771331775,0.048976630268945644,-0.01636882327576361,48.0,1.25
kr,kr.steady_dividend,A_strong,20,all,7,8,8,0,0,0,0,8,0.04785625405803232,0.018147272320850748,0.875,0.14416244363641784,6.2741078585249355,1.0,0.04785625405803232,0.018147272320850748,0.875,0.004001992362609931,0.11372153623748876,2.0976854485258642,0.14416244363641784,0.13588772509232638,1.0,6.2741078585249355,0.04785625405803232,0.07130352208760896,-0.014230238731944664,0.17122731934275026,-0.028524786578515912,48.0,1.25
kr,kr.steady_dividend,B_moderate2,5,all,49,392,392,0,5,5,0,387,0.010890651758714514,0.0087082728592162,0.5968992248062015,0.016478926038070232,4.262964058876571,0.661498708010336,0.010504635519721096,0.0076152066384074,0.5943877551020408,-0.0501100244498777,0.0708519269776875,3.3807679136267796,0.016317557780419795,0.02188571936516705,0.6607142857142857,4.2730482167038275,0.010890651758714514,0.03110883101535641,-0.0189075902435433,0.04873504911931539,-0.03703752390410894,50.46173469387755,14.198979591836734
kr,kr.steady_dividend,B_moderate2,20,all,49,392,392,0,92,92,0,300,-0.010370459115463459,-0.00124440482160435,0.48,0.07325249349489858,13.011580827817369,0.8033333333333333,-0.0011053751370986842,0.00667062182505835,0.5280612244897959,-0.11873626460248145,0.080556854588938,-0.266345363501187,0.04871176455351157,0.049097017947846,0.6887755102040817,8.995343148854948,-0.010370459115463459,0.0603789606004895,-0.05151991053900799,0.08250915337478848,-0.07072511914346802,50.46173469387755,14.198979591836734
